free_bikes,bike_station,empty_slots,latitude,longitude,rating
0,89,9,41.882664,-87.63253,3.0
0,89,9,41.882664,-87.63253,0.0
0,89,9,41.882664,-87.63253,2.5
0,89,9,41.882664,-87.63253,4.5
0,89,9,41.882664,-87.63253,3.5
0,89,9,41.882664,-87.63253,4.0
0,90,30,41.88338,-87.64117,4.0
0,90,30,41.88338,-87.64117,2.0
0,90,30,41.88338,-87.64117,3.5
0,90,30,41.88338,-87.64117,2.5
0,90,30,41.88338,-87.64117,4.5
0,90,30,41.88338,-87.64117,5.0
10,91,37,41.8810317,-87.62408432,4.5
10,91,37,41.8810317,-87.62408432,4.0
10,91,37,41.8810317,-87.62408432,3.5
10,91,37,41.8810317,-87.62408432,3.0
2,92,13,41.913688,-87.652855,3.5
2,92,13,41.913688,-87.652855,4.0
2,92,13,41.913688,-87.652855,0.0
2,92,13,41.913688,-87.652855,5.0
2,92,13,41.913688,-87.652855,2.0
10,93,6,41.894556,-87.653449,4.0
10,93,6,41.894556,-87.653449,3.0
10,93,6,41.894556,-87.653449,1.5
10,93,6,41.894556,-87.653449,3.5
10,93,6,41.894556,-87.653449,0.0
10,93,6,41.894556,-87.653449,4.5
5,94,6,41.778881,-87.586647,2.0
5,94,6,41.778881,-87.586647,0.0
5,94,6,41.778881,-87.586647,1.5
5,94,6,41.778881,-87.586647,1.0
5,94,6,41.778881,-87.586647,2.5
5,94,6,41.778881,-87.586647,4.0
5,94,6,41.778881,-87.586647,5.0
7,95,20,41.918306,-87.636282,4.5
7,95,20,41.918306,-87.636282,3.5
7,95,20,41.918306,-87.636282,4.0
7,95,20,41.918306,-87.636282,3.0
7,95,20,41.918306,-87.636282,0.0
36,96,3,41.865312,-87.617867,2.0
36,96,3,41.865312,-87.617867,0.0
36,96,3,41.865312,-87.617867,4.5
36,96,3,41.865312,-87.617867,3.5
36,96,3,41.865312,-87.617867,5.0
36,96,3,41.865312,-87.617867,1.5
11,97,5,41.88461618962,-87.6445705849,4.0
11,97,5,41.88461618962,-87.6445705849,0.0
11,97,5,41.88461618962,-87.6445705849,5.0
11,97,5,41.88461618962,-87.6445705849,4.5
11,97,5,41.88461618962,-87.6445705849,3.0
11,97,5,41.88461618962,-87.6445705849,1.5
3,98,8,41.794228,-87.655073,1.0
3,98,8,41.794228,-87.655073,0.0
3,98,8,41.794228,-87.655073,3.0
3,98,8,41.794228,-87.655073,1.5
3,98,8,41.794228,-87.655073,5.0
3,98,8,41.794228,-87.655073,4.5
2,99,9,41.792822,-87.664429,5.0
2,99,9,41.792822,-87.664429,0.0
2,99,9,41.792822,-87.664429,4.0
2,99,9,41.792822,-87.664429,1.0
2,99,9,41.792822,-87.664429,2.0
2,99,9,41.792822,-87.664429,2.5
2,99,9,41.792822,-87.664429,3.5
9,100,2,41.803023,-87.664699,4.5
9,100,2,41.803023,-87.664699,0.0
9,100,2,41.803023,-87.664699,3.5
9,100,2,41.803023,-87.664699,4.0
9,100,2,41.803023,-87.664699,5.0
9,100,2,41.803023,-87.664699,1.0
